simulation,strategy,truckId,totalDistanceKm,totalCost,totalGoodsMoved
1,FCFS,0,19120,28680.00,1097
1,FCFS,1,15000,22500.00,1062
1,FCFS,2,9070,13605.00,547
2,FCFS,0,16530,24795.00,908
2,FCFS,1,14710,22065.00,1101
2,FCFS,2,10740,16110.00,632
3,FCFS,0,15880,23820.00,1052
3,FCFS,1,18240,27360.00,1079
3,FCFS,2,8510,12765.00,490
1,NEAREST_NEIGHBOR,0,8470,12705.00,1372
1,NEAREST_NEIGHBOR,1,1050,1575.00,890
1,NEAREST_NEIGHBOR,2,0,0.00,444
2,NEAREST_NEIGHBOR,0,7460,11190.00,1291
2,NEAREST_NEIGHBOR,1,630,945.00,853
2,NEAREST_NEIGHBOR,2,0,0.00,497
3,NEAREST_NEIGHBOR,0,7690,11535.00,1428
3,NEAREST_NEIGHBOR,1,630,945.00,511
3,NEAREST_NEIGHBOR,2,0,0.00,682
1,FCFS,0,19120,28680.00,1097
1,FCFS,1,15000,22500.00,1062
1,FCFS,2,9070,13605.00,547
2,FCFS,0,16530,24795.00,908
2,FCFS,1,14710,22065.00,1101
2,FCFS,2,10740,16110.00,632
3,FCFS,0,15880,23820.00,1052
3,FCFS,1,18240,27360.00,1079
3,FCFS,2,8510,12765.00,490
1,NEAREST_NEIGHBOR,0,8470,12705.00,1372
1,NEAREST_NEIGHBOR,1,1050,1575.00,890
1,NEAREST_NEIGHBOR,2,0,0.00,444
2,NEAREST_NEIGHBOR,0,7460,11190.00,1291
2,NEAREST_NEIGHBOR,1,630,945.00,853
2,NEAREST_NEIGHBOR,2,0,0.00,497
3,NEAREST_NEIGHBOR,0,7690,11535.00,1428
3,NEAREST_NEIGHBOR,1,630,945.00,511
3,NEAREST_NEIGHBOR,2,0,0.00,682
